,Volume,Close,EMA9,EMA20,EMA50,EMA100,EMA200,EMA500,MACD,RSI,Target
138,40400,5855.10009765625,5940.107145503474,5900.62919678126,5717.560401079685,5354.175912797844,4862.101051682077,4301.690496856965,0.9207082246289389,49.26100003719611,0
139,41000,5850.72021484375,5922.229759371529,5895.87596040626,5722.782354560629,5364.008473234397,4871.938058280701,4307.874248226174,-7.387005409074838,49.04048748803332,-1
140,28600,5698.0400390625,5877.391815309724,5877.034444087807,5721.812067678349,5370.622959686439,4880.157978487485,4313.42381226145,-22.41451457083167,41.98497133321231,1
141,42400,5734.43994140625,5848.801440529029,5863.454015260992,5722.307278412777,5377.827256354158,4888.658296526478,4319.096531339872,-28.748358450362872,44.05160681202307,-1
142,33800,5618.14990234375,5802.671132891974,5840.0917187926825,5718.222675429679,5382.586120631179,4895.916919469933,4324.282373140287,-38.979942817832786,39.24207980693438,-1
143,34400,5567.1201171875,5755.560929751079,5814.094423401713,5712.297084910378,5386.240259176849,4902.595558253192,4329.243801260236,-46.8645987329697,37.31672808282845,1
144,41600,5667.509765625,5737.950696925864,5800.133979803931,5710.540719448206,5391.809952373842,4910.206644893708,4334.586180359497,-43.09487026110188,43.218898580390444,1
145,32200,5823.169921875,5754.994541915691,5802.327879048795,5714.957550915923,5400.351733948122,4919.290856604965,4340.528630425427,-28.592558220951954,50.933575104092874,1
146,39400,5842.2001953125,5772.435672595053,5806.125242502481,5719.947458539319,5409.101208430586,4928.474034104542,4346.523327291244,-16.777737590885906,51.7958594505006,-1
147,36200,5815.8701171875,5781.122561513543,5807.053325805817,5723.709131427483,5417.15603830696,4937.303845876511,4352.3889831391325,-10.123288740704115,50.47417696345483,1
148,37600,5880.35009765625,5800.968068742084,5814.033970743953,5729.851914416847,5426.328197898035,4946.6873906703395,4358.488628306865,-1.2337393404508727,53.59692056431436,1
149,36400,5935.18994140625,5827.812443274918,5825.572634616553,5737.90438606349,5436.404668066514,4956.523236946318,4364.7828451256255,7.978323851889998,56.13043811755277,-1
150,37600,5850.60986328125,5832.3719272761855,5827.95713258462,5742.3242086994815,5444.606751140073,4965.41962128796,4370.714290307884,7.993982948616511,51.46349065570321,-1
151,35000,5759.2900390625,5817.755549633448,5821.417409392037,5742.989535380384,5450.838103376161,4973.31882942502,4376.257506869779,1.7963584918557376,46.92681980090042,-1
152,36200,5649.85986328125,5784.176412363008,5805.078595476724,5739.337391376496,5454.779128324776,4980.050581005679,4381.341747813538,-9.130596601817128,42.13363995628538,1
153,38400,5700.39990234375,5767.421110359157,5795.1091961307275,5737.810431022271,5459.642906028122,4987.218235944367,4386.607449029228,-12.219259606076204,44.93127330118258,-1
154,38400,5520.66015625,5718.068919537326,5768.971192332563,5729.294733972378,5460.851168408753,4992.526115748404,4391.134605545079,-24.901187911947908,37.91142163866327,0
155,40800,5525.08984375,5679.473104379861,5745.744397229462,5721.286699061697,5462.123221385808,4997.825257320559,4395.661372963063,-31.121163575930325,38.16781539704761,0
156,33400,5535.68994140625,5650.716471785139,5725.739210960584,5714.008394839914,5463.579988118887,5003.177144724397,4400.212385212337,-32.50013852255165,38.81889562256445,-1
157,36000,5414.93994140625,5603.561165709361,5696.139280526839,5702.280220195457,5462.616818877052,5007.274286979939,4404.263193819897,-39.08096184479964,34.378073239766024,1
158,30600,5443.43994140625,5571.536920848739,5672.072676801068,5692.129621027253,5462.237078729115,5011.6142437404,4408.411603989903,-38.963365577396615,36.23230223990105,-1
159,25400,5365.39990234375,5530.309517147742,5642.865745900371,5679.316690882802,5460.319510879899,5015.1344990498865,4412.231916558181,-41.363825276191136,33.44548083915174,1
160,31800,5400.990234375,5504.445660593194,5619.829982897954,5668.401927882496,5459.144673721386,5018.973859600385,4416.179055551462,-37.87081626098076,35.86810758084415,0
161,26600,5395.27978515625,5482.612485505805,5598.444249779696,5657.691255618723,5457.88002246267,5022.718197168106,4420.087641298387,-33.41640865827776,35.64391703295976,1
162,27000,5414.43994140625,5468.977976685894,5580.920029934607,5648.151988394704,5457.01982283779,5026.6159259664955,4424.057111558298,-26.929575759891307,37.06530432098175,1
163,32400,5528.93994140625,5480.970369629966,5575.969545312858,5643.477006159862,5458.443983601523,5031.614174876344,4428.467821457891,-13.363164512990764,44.897527186210084,1
164,27800,5571.3701171875,5499.050319141474,5575.531504539014,5640.649285023691,5460.680144662631,5036.984880769987,4433.03030567238,-0.6394548648356846,47.504697317895705,-1
165,26600,5520.43994140625,5503.328243594429,5570.28468900256,5635.935193117125,5461.863506974387,5041.795378885771,4437.371262302056,4.932485779449223,44.76666807468592,1
166,26200,5590.60009765625,5520.782614406794,5572.219489826722,5634.157346236307,5464.412746393829,5047.256122356124,4441.974970227621,13.446205797438736,49.11747893436828,1
167,28400,5740.85009765625,5564.796111056685,5588.279547715249,5638.341375703756,5469.88675334952,5054.157554946176,4447.160100476838,28.43797296427799,56.940074109277234,1
168,33000,5788.080078125,5609.452904470348,5607.308169659035,5644.21348168106,5476.1876112658665,5061.460266619598,4452.5130744395055,40.0648485100502,59.07022123541202,1
169,24000,5838.02001953125,5655.166327482529,5629.280726789722,5651.8137380673425,5483.35260944934,5069.187229335137,4458.044040288176,49.05480262993889,61.25290308674075,-1
